IMO,MMSI
9451135,316013045
9255892,316004840
9199115,316002110
9199103,316304000
9557458,316027612
9402457,316028782
9187942,316014070
7402465,370570000
9364368,316019016
9351012,316014268
9473262,316013946
9261607,316025601
9645504,316025785
7041235,316003661
9744219,725001305
9434034,725000636
9453028,725000714
9453016,725000695
9317327,725002750
9299989,725002740
9559509,725000715
9559511,725000823
9434022,725004430
9623154,725001172
9525431,725001346
9384394,725004420
9384382,725000906
9731494,725001276
9528988,725000785
9308326,725000297
9654440,725001404
9705615,725001135
9572783,725000802
9753167,376534000
9662629,725001154
9708344,725001155
9655860,725000927
9673915,725000996
9760976,725001502
9706059,725001134
9734317,726848936
9570163,725000736
9753155,377278000
9074602,413021030
9191981,412681000
9191967,412677000
9564736,413046040
9516961,477622300
9646522,412046140
8908258,412648000
9628312,413046090
9693446,412190000
9493858,413046080
8418461,413104000
9011765,413475590
9191979,412670000
9244910,412684000
9239422,412683000
9640827,413054640
9609328,412050000
9639397,413054610
8418576,413054570
9648271,636016727
9626223,413475660
9717096,413477730
8418629,413376030
9541253,412476050
8404549,412686000
9231195,412669000
9613654,413021230
9185944,413021240
8418423,413102000
8418502,413103000
9164952,412664000
8511483,412687000
9588691,413021130
9588720,413325320
9574298,413021110
9610951,413021160
9546289,413021040
9610913,413021170
9577977,413021120
9588732,413325330
9557771,413323780
9628142,413021220
9565077,413021080
9628130,413021190
9219472,412668000
9254771,412682000
9548079,413356810
9517771,413359580
9169471,232004490
9169366,565340000
9258935,413022000
9545338,413551000
9545340,413552000
9712101,413482290
9712113,413482310
8224468,412461170
9338254,412301860
9344899,412301870
9517159,413486000
9525596,413487000
9538268,413300710
9547116,413301020
9550565,413301030
9235646,412464460
9235658,412464470
9235660,412464480
9318204,413025000
8127000,412300310
9541148,413549000
9557757,413550000
9557769,413301290
9755440,413482440
9755452,413482450
8305016,412300180
8305004,412300190
8304995,412300210
8219633,412300240
8219671,412300250
8219657,412300260
8302870,412300270
9282209,412301360
9289324,412301370
9291767,412301380
9561849,413467390
9561851,413479320
9258959,412301470
9258961,412301480
9258947,413023000
9040041,412300320
8881084,412300330
9696163,413479350
9696151,413480210
9752759,413305240
9752761,441302235
9752773,413482420
9752785,413482430
9534315,477661800
8415445,412461150
8415457,412461160
9005352,477770500
8313817,413696830
9569920,413354840
9570369,413324410
9294707,412324510
9622473,412379620
8501115,413375010
9326471,412021140
9326483,412021170
9372834,413110000
9056557,412885000
9056569,412886000
9631292,412475970
9631278,412475960
9607851,413302910
9585144,412763460
9559810,412472710
9684287,413451160
9381160,412372740
9607461,413304350
9556686,412302850
9592460,412302860
9435727,413480940
9547752,413548000
9559004,413301280
9542386,413300790
9329332,412467680
9630339,412303420
9391854,412355550
9511868,413040040
